"module","module_content_number","multi_omics_num","include_genes","genes","include_metabolites","metabolites","include_pathways","pathways"
"Functional_module_161",1,1,TRUE,"CIZ1",FALSE,NA,FALSE,NA
"Functional_module_162",1,1,TRUE,"CKLF",FALSE,NA,FALSE,NA
"Functional_module_163",1,1,TRUE,"CLBA1",FALSE,NA,FALSE,NA
"Functional_module_164",1,1,TRUE,"CLCN5",FALSE,NA,FALSE,NA
"Functional_module_165",1,1,TRUE,"CLMN",FALSE,NA,FALSE,NA
"Functional_module_166",1,1,TRUE,"CLN6",FALSE,NA,FALSE,NA
"Functional_module_167",1,1,TRUE,"CLPTM1L",FALSE,NA,FALSE,NA
"Functional_module_168",1,1,TRUE,"CLUH",FALSE,NA,FALSE,NA
"Functional_module_169",1,1,TRUE,"CMAS",FALSE,NA,FALSE,NA
"Functional_module_17",1,1,TRUE,"ADGRG1",FALSE,NA,FALSE,NA
"Functional_module_170",1,1,TRUE,"CMIP",FALSE,NA,FALSE,NA
"Functional_module_171",1,1,TRUE,"CNDP1",FALSE,NA,FALSE,NA
"Functional_module_172",1,1,TRUE,"CNDP2",FALSE,NA,FALSE,NA
"Functional_module_173",1,1,TRUE,"CNPPD1",FALSE,NA,FALSE,NA
"Functional_module_174",1,1,TRUE,"CNRIP1",FALSE,NA,FALSE,NA
"Functional_module_175",1,1,TRUE,"CNTN1",FALSE,NA,FALSE,NA
"Functional_module_176",1,1,TRUE,"COBL",FALSE,NA,FALSE,NA
"Functional_module_177",1,1,TRUE,"COL16A1",FALSE,NA,FALSE,NA
"Functional_module_178",1,1,TRUE,"COL4A1",FALSE,NA,FALSE,NA
"Functional_module_179",1,1,TRUE,"COL4A2",FALSE,NA,FALSE,NA
"Functional_module_18",2,1,TRUE,"ADRA2A/EDNRA",FALSE,NA,FALSE,NA
"Functional_module_180",1,1,TRUE,"COL5A3",FALSE,NA,FALSE,NA
"Functional_module_181",1,1,TRUE,"COPS7A",FALSE,NA,FALSE,NA
"Functional_module_182",1,1,TRUE,"CORO2A",FALSE,NA,FALSE,NA
"Functional_module_183",2,1,TRUE,"CP/TFR2",FALSE,NA,FALSE,NA
